,Title,Description,Cast&Crew,Duration,Minimum price,Rating
108,"Mozart, l’opera rock","The show is a dramatization of the life of Wolfgang Amadeus Mozart beginning from the age of 17 and culminating with his death in 1791 at the age of 35. It uses both original pop-rock compositions as well as pre-existing music composed by Mozart and other composers, including Antonio Salieri.","Mikelangelo Loconte, Diane Dassigny, Melissa Mars, Florent Mothe, Maeva Meline, Solal, Yamin Dib, Merwan Rim, Nuno Resende",120,0,0
109,Elisabeth,"Elisabeth is a Viennese, German-language musical commissioned by the Vereinigte Bühnen Wien (VBW), with a book and lyrics by Michael Kunze and music by Sylvester Levay. It portrays the life and death of Empress Elisabeth of Austria, wife of Emperor Franz Joseph I. It has been translated into seven languages and seen by over ten million spectators worldwide, making it the most successful German-language musical of all time.","Annemieke van Dam, Mark Seibert, Kurosch Abbasi, Franziskus Hartenstein, Lukas Perman, Christian Peter Hauser, Daniela Ziegler",140,0,0
110,My Fair Lady,"Boasting such classic songs as “I Could Have Danced All Night,” “The Rain in Spain,” “Wouldn’t It Be Loverly” and “On the Street Where You Live,” My Fair Lady tells the story of Eliza Doolittle, a young Cockney flower seller, and Henry Higgins, a linguistics professor who is determined to transform her into his idea of a “proper lady.” But who is really being transformed?","Rosemary Harris, Christian Dante White, Alexander Gemignani, Allan Corduner, Linda Mugleston, Clarke Thorell",175,0,88
111,Newsies,"Based on the real-life Newsboy Strike of 1899, this new Disney musical tells the story of Jack Kelly, a rebellious newsboy who dreams of a life as an artist away from the big city. After publishing giant Joseph Pulitzer raises newspaper prices at the newsboys’ expense, Kelly and his fellow newsies take action. With help from the beautiful female reporter Katherine Plumber, all of New York City soon recognizes the power of “the little man.”","Corey Cott, John Dossett, Liana Hunt, Ben Fankhauser, Andy Richardson, Capathia Jenkins",150,0,0
112,Next to Normal,"This musical centers on what appears to be a typical American family: Dad’s an architect; Mom rushes to pack lunches and pour cereal; their daughter and son are bright, wise-cracking teens. And yet their lives are anything but normal, because the mother has been battling manic depression for 16 years. Next to Normal takes audiences into the minds and hearts of each character, presenting their family’s story with love, sympathy and heart.","Marin Mazzie, Jason Danieley, Meghann Fahy, Kyle Dean Massey",140,0,93
113,Oklahoma!,"Over 75 years after Rodgers & Hammerstein reinvented the American musical, this is Oklahoma! as you’ve never seen or heard it before – reimagined for the 21st century. “This production shocked and moved me,” raves Frank Rich of New York Magazine. “Forget your traditional idea of Oklahoma! Daniel Fish’s daring, brilliant, utterly absorbing re-interpretation is dark and different—brilliantly so.” (The Daily Beast) “An audacious, sexy, upending ride” (NY1) that’s “as stimulating and jolting – and as fresh – as last night’s fever dream. Oklahoma! is astonishing.” (The New York Times)","Damon Daunno, Rebecca Naomi Jones, Patrick Vaill, Ali Stroker, Mary Testa, James Davis, Will Brill, Mitch Tebo, Mallory Portnoy, Anthony Cason, Will Mann, Gabrielle Hamilton",165,0,80
114,Peter Pan,"Tony Award nominee Cathy Rigby takes flight in an all new production of Peter Pan! Discover the magic all over again of this two time Emmy award winning and two time Tony award nominated production. The New York Times says ""Rigby still carries off the flights, fights and acrobatics that make Peter Pan audiences mesmerized."" Peter Pan is filled with timeless magical moments and a captivating hook. The legend you thought you knew, is now the adventure you never dreamed possible...Cathy Rigby is Peter Pan.",Cathy Rigby,100,0,0
115,Pretty Woman,"Vivian and Edward are unlikely soulmates who overcome all odds to find each other… and themselves. Experience the moments you love from the movie—and get to know these iconic characters in a whole new way—in this dazzlingly theatrical take on a love story for the ages. Brought to life by a powerhouse creative team representing the best of music, Hollywood and Broadway, Pretty Woman: The Musical is guaranteed to lift your spirits and light up your heart.","Jillian Mueller, Brennin Hunt, Orfeh, Eric Anderson, Charlie Pollock, Kingsley Leggs",155,0,77
116,Pride and Prejudice,"A tale of two sets of very different lovers and the pitfalls they encounter on their separate roads to finding each other. The mise en scene is early 19th century at war with Napoleon. Members of its intelligentsia fight a war in print about women’s duties to maintain family values. By extension, this is the tale of the fabric of the nation versus the nascent feminist movement.","Margo Seibert, Nathaniel Hackmann, Brad Stanley, Teal Wicks, Will Reynolds, Christiana Cole, Nora Mae Lung, Brian Ray Norris, Gordon Stanley, Rita Markova, Jessica Fontana, Gayla Morgan, Doug Shapiro, ​Ron DeStefano",145,0,81
117,Prince of Broadway,"Prince of Broadway pays tribute to Harold Prince’s 60-year career and examines the circumstances and fortune, both good and bad, that led to him creating some of the most beloved theater of all time, including West Side Story, The Pajama Game, Cabaret, Follies, A Little Night Music, Sweeney Todd, The Phantom of the Opera, Evita and Company.","Harold Prince, Chuck Cooper, Janet Dacal, Bryonha Marie Parham, Emily Skinner, Brandon Uranowitz, Kaley Ann Voorhees, Tony Yazbeck, Michael Xavier, Karen Ziemba",150,0,78
118,The Producers,"""The Producers’""tells the story of a down-on-his-luck Broadway producer, Max Bialystock, and a nerdy, young accountant, Leo Bloom, who concoct a scheme to raise thousands of dollars from backers and then put on a flop of a show. With all the money that will be leftover, the pair will be rich! Only one thing goes wrong: the show is a gigantic hit! ""The Producers"" skewers Broadway traditions and takes no prisoners as it proudly proclaims itself an “equal opportunity offender!”","Nathan Lane, Matthew Broderick, Cady Huffman, Gary Beach, Roger Bart, Brad Oscar",135,0,91
119,The Prom,"Everyone’s invited to the joyous Broadway hit that New York Magazine calls “smart and big-hearted” and The New York Times declares a Critic’s Pick! Billboard cheers, “The Prom is Hairspray meets Dear Evan Hansen!” Variety raves, “It’s so full of happiness that you think your heart is about to burst.” And The Hollywood Reporter cheers, “It’s comic gold!” You belong at The Prom!","Beth Leavel, Brooks Ashmanskas, Christopher Sieber, Caitlin Kinnunen, Angie Schworer, Isabelle McCalla, Courtenay Collins, Josh Lamon, Michael Genet",135,0,85
120,Queen of the Mist,"Based on an astounding, outrageous, and haunting true story, Queen of the Mist centers on Anna Edson Taylor, who in 1901, at the age of 63, set out to be the first woman to shoot Niagara Falls in a barrel of her own design. Navigating both the treacherous Falls and a fickle public with a ravenous appetite for sensationalism, this unconventional heroine vies for her legacy in a world clamoring with swindling managers, assassins, revolutionaries, moralizing family, anarchists and activists.",Mary Testa,135,0,0
121,Ratatouille: The TikTok Musical,"Based on the movie, written by fans, and starring some of Broadway’s biggest talent. After a surprising start on the social media platform TikTok, fans have come together to create an original musical version of Disney/Pixar’s “Ratatouille.” This tribute stars Titus Burgess, Adam Lambert, Ashley Park, Wayne Brady, Andrew Barth Feldman, and more. More than anything in the world, Remy the rat wants to become the greatest chef in the world. Though he has a gift for cooking, rats have never been welcome in a kitchen. By chance, he makes an unlikely friend in Linguini, a restaurant dishwasher. The two hide Remy’s true identity and capture the attention of the culinary world. Will their fame cause their secret to be revealed?",TikTokers,0,0,83
122,Rebecca,"Rebecca is a German-language musical based on the 1938 novel of the same name by Daphne du Maurier. It was written by Michael Kunze (book and lyrics) and Sylvester Levay (music), the authors of the musicals Elisabeth, Mozart! and Marie Antoinette. The plot, which adheres closely to the original novel, revolves around wealthy Maxim DeWinter, his naïve new wife, and Mrs. Danvers, the manipulative housekeeper of DeWinter’s Cornish estate Manderley. Mrs. Danvers resents the new wife’s intrusion and persuades the new wife that she is an unworthy replacement for the first Mrs. DeWinter, the glamorous and mysterious Rebecca, who perished in a drowning accident. The new Mrs. DeWinter struggles to find her identity and take control of her life among the shadows left by Rebecca.","Wietske van Tongeren, Uwe Kröger, Susan Rigvava-Dumas, Carsten Lepper, André Bauer, Kerstin Ibald, Norberto Bertassi, Carin Filipčić",170,0,0
123,The Red Shoes,"In 1921-1922 the Russian Ballet Lermontov company performs in London, Paris and Monte Carlo. Victoria Page is a ballet dancer with the company, which is led by Boris Lermontov. Julian Craster is an idealistic but egocentric young composer, who is in love with Victoria. Lermontov is a middle-aged impresario who wants to control Victoria, both on-stage and off. She is torn between the two men and her desire to dance, and ultimately commits suicide.","Margaret Illmann, Steve Barton, Hugh Panaro",120,0,0
124,Reefer Madness,"Warning! Keep your children indoors! Reefer Madness is sweeping New York! The musical, based on the 1936 ""scare film"" of the same name, introduces you to a batch of seemingly naive young people who all fall into the seamy world of drugs, despair and murder after smoking marijuana. You’ll be hard pressed to find anything as satiric off-Broadway this year--so put on your tie-dye gear and head to the Variety Arts for this trippy new musical.","Harry S. Murphy, Christian Campbell, Jolie Jenkins, Lori Alan, Robert Torti, John Kassir, Erin Matthews, Samantha Harris, Michael Cunio, Rena Strober, Aukai Cain",108,0,0
125,Rent,"Loosely based on Puccini’s opera La Boheme, Rent tells the story of a group of impoverished friends struggling to survive and create in New York’s gritty Alphabet City in 1991. Over the course of one year, Rent follows these starving artists as they strive for success and acceptance while enduring the obstacles of poverty, illness, impending gentrification and the AIDS epidemic.","Josh Grisetti, Anthony Federov, Emma Hunton, Rashad Naylor, Natalie Wachen, Shaleah Adkisson, MJ Rodriguez",135,0,91
126,The Rocky Horror Show,"This cult phenomenon (the stage show came before the movie) traces the bizarre adventures of super-square Brad Majors and his amazingly virginal fiancee, Janet Weiss. Follow Brad and Janet as they try desperately to survive the diabolical Riff-Raff, his incestuously fashionable sister Magenta, her rock ’n’ rollin’ best friend Columbia, her dangerous biker-boyfriend Eddie, several Transylvanians and the world’s most powerful but sweet transvestite--a man simply referred to as Frank ’n’ Furter--who will change their lives and libidos forever.","Kevin Cahoon, Dick Cavett, Lea DeLaria, Jarrod Emick, Raul Esparza, Deidre Goodwin, Tom Hewitt, Joan Jett",100,0,0
127,Runaways,"In 1977, Elizabeth Swados spent several months observing and interviewing teen runaways before shaping their stories, fears, and fantasies into a musical. A deeply unconventional work in its day, ""Runaways"" feels like the funkiest, most heartbreaking mixtape ever to come out of a 1970s boom box, packed with reggae anthems, hip-hop, soul-food lullabies, and spoken-word poetry. Cast largely with NYC students, this production of ""Runaways"" honors the crowning achievement of a theater visionary who was ferocious, inspiring, and left us far too soon. Part of Encores! Off-Center season.","Elizabeth Swados, Bruce Hlibok Lorie Robinson, Carlo Imperato, Rachael Kelly, Ray Contreras Nan-Lynn Nelson, Josie de Guzman, Randy Ruiz, Jon Matthews, Bernie Allison, Venustra K. Robinson, David Schechter, Evan H. Miranda, Jonathan Feig, Kate Schellenbach, Leonard D. Brown, Mark Anthony Butler, Trini Alvarado, Karen Evans, Sheila Gibbs",85,0,76
128,School of Rock,"Based on the film of the same name, School of Rock—The Musical tells the story of wannabe rock star Dewey Finn, who poses as a substitute teacher at a prestigious prep school. When he discovers his students’ musical talents, he enlists his fifth-graders to form a rock group and conquer the Battle of the Bands.","Justin Collette, Jonathan Gould, Mamie Parris, Lori Eve Marinacci, Levi Buksbazen, Matthew Jost, Montgomery Lamb, Ava Briglia, Jim Kaplan, Sarah Walsh, Hudson Loverro, Layla Capers, Darrow Golub, Madalen Yarbrough Mills, Madison Elizabeth Lagares, Katie Greendorfer, Nirvaan Pal",135,0,85
129,Showgirls! The Musical!,"Showgirls! The Musical! is the unauthorized musical parody of the cult classic film Showgirls from the twisted minds that gave you “Bayside! The Saved by the Bell Musical!""","Marcus Desion, John H. Elliott, April Kidwell, Philip McLeod, Amanda Nicholas, Rori Nogee, Rena Riffel, Israel Vinas",120,0,84
130,Shrek The Musical,"Set in a mythical “once upon a time” sort of land, Shrek the Musical is the story of a hulking green ogre who, after being mocked and feared his entire life by anything that crosses his path, retreats to an ugly green swamp to exist in happy isolation. Suddenly, a gang of homeless fairy-tale characters (Pinocchio, Cinderella, the Three Pigs, you name it) raid his sanctuary, saying they’ve been evicted by the vertically challenged Lord Farquaad. So Shrek strikes a deal: I’ll get your homes back, if you give me my home back! But when Shrek and Farquaad meet, the Lord strikes a deal of his own: He’ll give the fairy-tale characters their homes back, if Shrek rescues Princess Fiona. Shrek obliges, yet finds something appealing–something strange and different–about this pretty princess. He likes her. A lot. But why does she always run off when the sun sets?","Ben Crawford, Daniel Breaker, Haven Burton, Jennifer Cody, Bobby Daye, Ryan Duncan, Sarah Jane Everman, Sutton Foster",130,0,0
131,Side Show,"Side Show is set against the backdrop of 1920s and 1930s show business, seamlessly blending the worlds of carnival, vaudeville and Hollywood glamour. Based on the remarkable true story, Side Show follows the legendary Hilton twins, Daisy and Violet, as they rise from side show attractions to glamourous stars—all the while, searching for love and acceptance amidst the spectacle of fame and scrutiny under the spotlight. Don’t miss their one-of-a-kind journey to discover the very thing that makes them different…makes them extraordinary.","Emily Skinner, Alice Ripley, Jeff McCarthy, Norm Lewis, Hugh Panaro, Ken Jennings",120,0,0
132,Singin’ in the Rain,"A musical based on the famous movie of the same name about the rocky transition period in the 1920’s when silent pictures gave way to talkies. Don and Lina are a silent screen glamor couple, but she is a dese, dems and dose girl; her career is doomed when the studio decides to make ""The Dueling Cavalier"" with sound. Don meets lovely Kathy who wants to be a stage actress. Kathy throws a pie in Lina’s face though, and Lina gets her fired. But, Kathy and Don hook up again and after they kiss he goes dancing and singing in the rain. She becomes a star. He stays a star.","Charlotte Gooch, Kevin Clifton, Faye Tozer, Cavin Cornwall, Michael Matus",155,0,0
133,Sister Act,"Based on the 1992 film of the same name, Sister Act tells the story of aspiring disco diva Deloris Van Cartier. Trying to work her way to the top in 1970s Philadelphia, Deloris falls in love with a very tough—and very married—gangster boyfriend named Curtis, and when Deloris witnesses him commit a murder she ends up in hiding on police orders in a convent whose parish has fallen on hard times. Though the sequin-free lifestyle doesn’t agree with her, Deloris finds her calling working with the choir, and breathes new life into the dusty convent while discovering a sisterhood she’s never had before.","Raven-Symoné, Carolee Carmello, Fred Applegate, Sarah Bolt, John Treacy Egan, Demond Green, Chester Gregory, Kingsley Leggs, Marla Mindelle, Audrie Neenan, Caesar Samayoa",120,0,0
134,South Pacific,"This epic musical romance centers on a group of American sailors and Navy nurses stationed in the South Pacific during World War II. Arkansas native Nellie Forbush befriends and quickly falls for Emile de Becque, a French expatriate and plantation owner, and Lt. Joe Cable finds himself in a passionate affair with Liat, the young daughter of Bloody Mary, the local grass-skirt peddler. As the war against Japan escalates, reality sets in for both Forbush and Cable, who struggle to reconcile their unconventional love affairs with their long-held prejudices and insecurities.","Mary Martin, 	Ezio Pinza, William Tabbert, Betta St. John, Juanita Hall, Myron McCormick, BarBara Luna, Martin Wolfson, Harvey Stephens, Michael De Leon",170,0,88
135,Spider-Man: Turn Off the Dark,"Spider-Man, Turn Off the Dark loosely follows the storyline of the comic book series and the 2002 film adaptation of Spider-Man, while adding its own twist on the popular tale. When nerdy teenager Peter Parker is bitten by a genetically altered spider, he discovers he has obtained super strength, web-spinning abilities and other spider-like powers. Parker soon finds himself battling scientist-turned-villain Norman Osborn, who adopts the alter-ego of the Green Goblin. As Parker’s troubles begin to pile up, he looks toward Arachne, a mythical spider goddess, for inspiration.","Justin Matthew Sargent, Rebecca Faulkenberry, Christina DeCicco, Michael Mulheren, Stephen Lee Anderson, Isabel Keating, Emily Shoolin, Jake Odmark, Aaron LaVigne, Dwayne Clark",60,0,0
136,SpongeBob SquarePants,"Stakes are higher than ever before as SpongeBob and all of Bikini Bottom face the total annihilation of their undersea world. Chaos erupts. Lives hang in the balance. And just when all hope seems lost, a most unexpected hero rises up and takes center stage. Get ready to dive to all-new depths of theatrical innovation at ""SpongeBob SquarePants,"" where the power of optimism really can save the world!","Ethan Slater, Danny Skinner, Lilli Cooper, Gavin Lee, Nick Blaemire, Stephanie Hsu, Carlos Lopez, Emmy Raver-Lampman, Abby C. Smith, Tom Kenny, Jason Michael Snow, Gaelen Gilliland, Kelvin Moon Loh, Mark Ledbetter, Allan K. Washington",150,0,82
137,Spring Awakening,"Spring Awakening is the story of two star-crossed lovers: the brave and brilliant Melchior and a beautiful, young, deaf girl named Wendla. The musical follows this turn of the century Romeo and Juliet as they learn how to communicate, and how to love, in a world that’s trying to keep them apart.","Jonathan Groff, Lea Michele, John Gallagher Jr., Lauren Pritchard, Jonathan B. Wright, Lilli Cooper, Gideon Glick, Stephen Spinella, Christine Estabrook, Skylar Astin, Brian Charles Johnson, Phoebe Strole, Remy Zaken",140,0,92
138,Sunset Boulevard,"In her mansion on Sunset Boulevard, faded, silent-screen goddess, Norma Desmond, lives in a fantasy world. Impoverished screen writer, Joe Gillis, on the run from debt collectors, stumbles into her reclusive world. Persuaded to work on Norma’s ‘masterpiece’, a film script that she believes will put her back in front of the cameras, he is seduced by her and her luxurious life-style. Joe becomes entrapped in a claustrophobic world until his love for another woman leads him to try and break free with dramatic consequences.","Glenn Close, Michael Xavier, Siobhan Dillon, Fred Johanson, Preston Truman Boyd, Paul Schoeffler, Jim Walton",160,0,84
139,Sweeney Todd: The Demon Barber of Fleet Street,Sweeney Todd follows a wronged barber who takes to slitting throats while seeking revenge on the corrupt judge who destroyed his life and family.,"Thom Sesma, Sally Ann Triplett, Michael James Leslie, Joseph Taylor, Jake Boyd, DeLaney Westfall, Betsy Morgan, John Rapson",165,0,89
140,"Tick, Tick... Boom!","Before Rent, there was tick, tick ... boom!. This autobiographical musical by Jonathan Larson, the Pulitzer Prize and Tony Award–winning composer of Rent, is the story of an aspiring composer who questions his life choices on the eve of his thirtieth birthday. His girlfriend wants to get married and move out of the city, his best friend is making big bucks on Madison Avenue, and yet Jon is still waiting on tables and trying to write the great American musical.","Nick Blaemire, Lilli Cooper, George Salazar",90,0,85
141,Waitress,"Waitress tells the story of Jenna, a waitress and expert pie maker stuck in a small town and a loveless marriage. When a baking contest in a nearby county offers her a chance at escape, Jenna fights to reclaim a long-forgotten part of herself. Through the support of her fellow waitresses, and an unexpected romance, Jenna begins to find the courage to take a long-abandoned dream off the shelf. Waitress celebrates the power of friendship, dreams, the family we choose and the beauty of a well baked pie.","Ciara Renée, Joshua Henry, Dakin Matthews, Maiesha McQueen, Ashley Blanchet, Ben Thompson, Eric Anderson, Tyrone Davis Jr.",150,0,87
142,West Side Story,The most exciting musical theater masterpiece of the 20th century. The most visionary theatrical talents of the 21st century. Is there any wonder it’s “the most eagerly-awaited production of the new season”? (NY Post),"Isaac Powell, Shereen Pimentel, Dharon E. Jones, Yesenia Ayala, Amar Ramasar, Ahmad Simmons, Elijah A. Carter, Danny Wolohan, Jacob Guzman, Kevin Csolak, Matthew Johnson, Zuri Noelle Ford, Daniel Oreskes, Pippa Pearthree, Thomas Jay Ryan",105,0,73
143,The Woman in White,"Freely adapted from Wilkie Collins’ Victorian thriller, The Woman in White tells of a dashing young man, employed as the art tutor to two devoted sisters, who is stranded at a remote railway cutting. Out of the darkness looms a woman, a mysterious figure dressed in white, desperate to share a chilling secret. He and the sisters soon find themselves trapped in a web of betrayal and greed, the victims of a seemingly flawless crime. Together they will need all their resourcesfulness and courage to outwit a charismatic and ingenious villain. As the compelling plot twists and turns, low villainy vies with high romance within a world of subterfuge and deceit.","Maria Friedman, Michael Ball, Angela Christian, Adam Brazier, Jill Paice, Ron Bohmer, Walter Charles, Justis Bolding",120,0,0
144,The Pajama Game,The Pajama Game is set in the Sleep-Tite Pajama Factory during a strenuous labor negotiation. At the musical’s center is the simmering attraction between a handsome new manager and a lovely union representative. But their budding romance is threatened by the impending strike.,"Eddie Foy Jr., Stanley Prager, Gordon Woodbrun, Ralph Dunn, Carol Haney, John Raitt, Reta Shaw, Buzz Miller, Janis Paige, Thelma Pelish, Rae Allen, Jack Waldron",165,0,81
145,Follies,"It is 1971 and the former stars of the Weissman Follies are reuniting on the stage of the now-decrepit theater that was once their professional home, the night before it is turned into a parking lot. Phyllis and Sally, who were best friends in their Follies days, have married Ben and Buddy, respectively. The once-close foursome has fallen out of touch. As these aging starlets reminisce, they end up hashing out old affairs, remembering who loved (and loves) whom, and reliving the roads they did and didn’t take.","Stephen Sondheim, Bernadette Peters, Jan Maxwell, Danny Burstein, Ron Raines, Jayne Houdyshell, Mary Beth Peil, Don Correia, Terri White, Colleen Fitzpatrick, Rosalind Elias, Michael Hayes, Susan Watson, Florence Lacey, David Sabin, Frederick Strother, Christian Delcroix, Kirsten Scott, Nick Verina",150,0,86
146,A Little Night Music,"Set at the turn of the last century, A Little Night Music interweaves a tangled web of former and current lovers among the upper crust elite of Sweden. Esteemed lawyer Fredrik Egerman has recently married a young virgin, Anne, whom his son, Henrik, has also fallen madly in love. Fredrik’s dedication to his blushing bride is tested when he reunites with a former flame, the famed (and fading) actress Desiree Armfeldt. Things grow more complicated when her jealous (and married) lover Count Carl-Magnus Malcolm gets wind of the reunion. The coupling and uncoupling comes to a head when Desirée convinces her mother to host Fredrik and his family for a weekend on her lavish country estate—and the Count, with wife in tow, crashes the party.","Stephen Sondheim, Bernadette Peters, Elaine Stritch, Stephen Buntrock, Erin Davie, Leigh Ann Larkin, Bradley Dean, Hunter Ryan Herdlicka, Ramona Mallory",145,0,83
147,42nd Street,"The ultimate Broadway musical comedy, 42nd Street is also one of the biggest shows on the Great White Way. And since it’s closing on January 2, 2005, time is running out to see this landmark show! Based on the classic 1933 movie musical of the same name, 42nd Street concerns the story of a naive young actress named Peggy Sawyer who arrives to audition for the new Julian Marsh extravaganza set to open on Broadway starring aging leading lady Dorothy Brock. A classic backstage story, 42nd Street is a delightful throwback that the entire family will enjoy.","Wanda Richert, Lee Roy Reams, Tammy Grimes, Jerry Orbach, Carole Cook, Joseph Bova, Danny Carroll, James Congdon, Don Crabtree, Stan Page, Karen Pruczik, Ginny King, Jeri Kansas, Robert Colston",144,0,89
148,Alice by Heart,"Alice by Heart takes place in the rubble of the London Blitz of World War II, where Alice Spencer’s budding teen life is turned upside down as she and her dear friend Alfred are forced to take shelter in an underground tube station. When the ailing Alfred is quarantined, Alice encourages him to escape with her into their cherished book and journey down the rabbit hole to wonderland.","Molly Gordon, Colton Ryan, Grace McLean, Kim Blanck, Wesley Taylor, Noah Galvin",90,0,75
149,Amelie," Amélie is an extraordinary young woman who lives quietly in the world, but loudly in her mind. She covertly improvises small, but surprising acts of kindness that bring joy to those around her. But when a chance at love comes her way, Amélie realizes that to find happiness she’ll have to risk everything and say what’s in her heart. Come be inspired by this imaginative dreamer who finds her voice, discovers the power of connection and sees possibility around every corner. In these uncertain times, Amélie is someone to believe in.","Phillipa Soo, Adam Chanler-Berat, Tony Sheldon, Manoel Felciano, David Andino, Randy Blair, Heath Calvert, Harriett D. Foy, Alison Cimmet, Alyse Alan Louis, Maria-Christina Olivera, Savvy Crawford",110,0,74
150,"Natasha, Pierre and the Great Comet of 1812","This musical is based on a particularly juicy subplot of Leo Tolstoy’s masterpiece War and Peace, telling the story of a young girl named Natasha who is betrothed to Andrey, who is off to war. In his absence, Natasha strikes up a relationship with the attractive Anatole, whose rebellious nature causes Andrey’s best friend Pierre to be on alert to the budding romance.","Brittain Ashford, David Abeles, Nick Choksi, Ashkon Davaran, Blake Delong, Amber Gray, Grace McLean, Phillipa Soo, Lucas Steele, Katrina Yaukey",150,0,85
151,Fun Home,"Fun Home introduces us to Alison at three different ages, revealing memories of her uniquely dysfunctional family – her mother, brothers and volatile, brilliant, enigmatic father – that connect with her in surprising new ways. This intimate and emotional theatrical experience is performed entirely in the round, bringing audiences closer to Alison’s story than ever before. A refreshingly honest musical about seeing your parents through grown-up eyes, Fun Home is “a blazingly original heartbreaker and a nonstop treasure of invention.","Michael Cerveris, Gabriella Pizzolo, Judy Kuhn, Roberta Colindrez, Emily Skeggs, Beth Malone, Joél Pérez, Zell Steele Morrow, Cole Grey",100,0,90
152,Bat Boy," Based on events as chronicled in The Weekly World News, Bat Boy is the story of a half boy/half bat creature who is discovered in a cave near Hope Falls, West Virginia. For lack of a better solution, the Hope Falls sheriff brings Bat Boy to the home of the town veterinarian, where he is eventually accepted as a member of the family and taught to act like a ""normal"" boy. Now called Edgar, Bat Boy is happy with his new life. But lurking in the distance are two grave dangers: a town that fears what they do not understand, and the secret of his true origins, which Bat Boy will soon discover in the most shocking manner imaginable.","Deven May, Kathy Brier, Kerry Butler, Daria Hardeman, Kaitlin Hopkins, Trent Armand Kendall, Sean McCourt, Jim Price, Richard Pruitt, Doug Storm",140,0,0
153,We Are The Tigers,"With a new school year comes a new beginning for the Tigers, the worst-ranked high school cheerleading team in the state. Riley, the new captain, rallies the girls for a fresh start at the annual team sleepover, however, the night takes a bloody turn. A squad that can’t stick a landing now has to solve a murder if they want any hope of making it to regionals - or the morning.","Lauren Zakrin, Cathy Ang, Jenny Rose Baker, Cameron Bartell, Kaitlyn Frank, Louis Griffin, Zoe Jensen, Caroline Lellouche, Wonu Ogunfowora, Sydney Parra, Celeste Rose, Mimi Scardulla, Alexia Sielo",120,0,82
154,Pippin,"The ensemble cast tells the story of Pippin, a young prince who longs to find passion and adventure in his life. To prove his loyalty to his distracted father, King Charles, Pippin goes to war. But when the Leading Player convinces the prince to fight tyranny, Pippin kills Charles and takes over the throne. Realizing his mistake, Pippin begs the Leading Player to bring his father back to life, and she obliges. The prince falls in love with Catherine, a widow with a young son, and (much to the Leading Player’s chagrin), Pippin struggles to decide whether he should settle down and pursue a peaceful life or continue to make magic with the dazzling troupe of performers.","Josh Kaufman, Carly Hughes, Charlotte d’Amboise, Priscilla Lopez, Rachel Bay Jones, John Dossett",150,0,88
155,Sunday in the Park with George,"Sunday in the Park with George follows painter Georges Seurat in the months leading up to the completion of his most famous painting, ""A Sunday Afternoon on the Island of La Grande Jatte."" Consumed by his need to “finish the hat,” Seurat alienates the French bourgeoisie, spurns his fellow artists, and neglects his lover Dot, not realizing that his actions will reverberate over the next 100 years.","Jake Gyllenhaal, Annaleigh Ashford, Ruthie Ann Miles, Robert Sean Leonard, Brooks Ashmanskas, Phillip Boykin, Erin Davie, Claybourne Elder, Liz McCartney, Penny FullerDavid Turner, Jennifer Sanchez",150,0,89
156,Matilda,"Based on Roald Dahl’s classic children’s book of the same name, Matilda follows Matilda Wormwood, a bright little girl who immerses herself in books. Matilda is discarded and belittled by her dimwitted parents—her father insists on calling her a boy and harps on her “stupidity” for preferring reading to watching the telly—and her hostile headmistress, the outrageous and wicked Miss Trunchbull. Reclusive, but with an ever-growing imagination and sharp mind, and with a caring protector in her teacher Miss Honey, Matilda dreams of a better life, daring to take a stand against unjust forces and to grasp her destiny in her own, tiny hands.","Ava Briglia, Bryce Ryness, Jennifer Blood, Lesli Margherita, John Sanders, Natalie Venetia Belcon",150,0,85
